*******************************
  /mnt/c/Users/montb/AppData/LocalLow/VRChat/VRChat/output_log_2024-02-29_01-05-27.txt
*******************************
2024.04.20 14:22:15 Video	'https://youtu.be/RXEHUntC2ps?si=GpXD5J-dtwyoIFnU'
2024.04.20 14:22:50 Video	'https://youtu.be/qq1UEeS1a7c?si=oEfnkIG0ETW3LzVD'
2024.04.20 14:26:04 Video	'https://youtu.be/zsCD5XCu6CM?si=LGMOKvvcoge8Ocg5'
2024.04.20 14:29:54 Video	'https://youtu.be/raKxf5M30Qc?si=dYpiiKNkFEkpUIW7'
2024.04.20 14:32:58 Video	'https://youtu.be/vjVkXlxsO8Q?si=1cLqflaZTwJyzwEO'
2024.04.20 14:36:14 Video	'https://youtu.be/4qlCC1GOwFw?si=6OOc9nRZPBH0iN5t'
2024.04.20 14:39:15 Video	'https://youtu.be/kXYiU_JCYtU?si=xxM2NOyvb4hCC5Gv'
2024.04.20 14:42:26 Video	'https://youtu.be/LYU-8IFcDPw?si=55Rz4-H2N8_tO8qj'
2024.04.20 14:45:17 Video	'https://youtu.be/Gd9OhYroLN0?si=DyrE_ybz9s-ML3aq'
2024.04.20 14:48:58 Video	'https://youtu.be/qq1UEeS1a7c?si=oEfnkIG0ETW3LzVD'
2024.04.20 14:52:11 Video	'https://youtu.be/zsCD5XCu6CM?si=LGMOKvvcoge8Ocg5'
2024.04.20 14:56:00 Video	'https://youtu.be/raKxf5M30Qc?si=dYpiiKNkFEkpUIW7'
2024.04.20 14:59:05 Video	'https://youtu.be/vjVkXlxsO8Q?si=1cLqflaZTwJyzwEO'
2024.04.20 15:02:21 Video	'https://youtu.be/4qlCC1GOwFw?si=6OOc9nRZPBH0iN5t'
2024.04.20 15:05:22 Video	'https://youtu.be/kXYiU_JCYtU?si=xxM2NOyvb4hCC5Gv'
2024.04.20 15:08:32 Video	'https://youtu.be/LYU-8IFcDPw?si=55Rz4-H2N8_tO8qj'
2024.04.20 15:11:24 Video	'https://youtu.be/Gd9OhYroLN0?si=DyrE_ybz9s-ML3aq'
2024.04.20 15:15:04 Video	'https://youtu.be/qq1UEeS1a7c?si=oEfnkIG0ETW3LzVD'
2024.04.20 15:18:18 Video	'https://youtu.be/zsCD5XCu6CM?si=LGMOKvvcoge8Ocg5'
2024.04.20 15:22:07 Video	'https://youtu.be/raKxf5M30Qc?si=dYpiiKNkFEkpUIW7'
2024.04.20 15:25:12 Video	'https://youtu.be/vjVkXlxsO8Q?si=1cLqflaZTwJyzwEO'
2024.04.20 15:28:28 Video	'https://youtu.be/4qlCC1GOwFw?si=6OOc9nRZPBH0iN5t'
2024.04.20 15:31:28 Video	'https://youtu.be/kXYiU_JCYtU?si=xxM2NOyvb4hCC5Gv'
2024.04.20 15:34:39 Video	'https://youtu.be/LYU-8IFcDPw?si=55Rz4-H2N8_tO8qj'
2024.04.20 15:37:31 Video	'https://youtu.be/Gd9OhYroLN0?si=DyrE_ybz9s-ML3aq'
2024.04.20 15:41:11 Video	'https://youtu.be/qq1UEeS1a7c?si=oEfnkIG0ETW3LzVD'
2024.04.20 15:44:25 Video	'https://youtu.be/zsCD5XCu6CM?si=LGMOKvvcoge8Ocg5'
2024.04.20 15:48:14 Video	'https://youtu.be/raKxf5M30Qc?si=dYpiiKNkFEkpUIW7'
2024.04.20 15:51:19 Video	'https://youtu.be/vjVkXlxsO8Q?si=1cLqflaZTwJyzwEO'
2024.04.20 15:54:35 Video	'https://youtu.be/4qlCC1GOwFw?si=6OOc9nRZPBH0iN5t'
2024.04.20 15:57:35 Video	'https://youtu.be/kXYiU_JCYtU?si=xxM2NOyvb4hCC5Gv'
2024.04.20 16:00:47 Video	'https://youtu.be/LYU-8IFcDPw?si=55Rz4-H2N8_tO8qj'
2024.04.20 16:03:38 Video	'https://youtu.be/Gd9OhYroLN0?si=DyrE_ybz9s-ML3aq'
2024.04.20 16:07:19 Video	'https://youtu.be/qq1UEeS1a7c?si=oEfnkIG0ETW3LzVD'
2024.04.20 16:10:32 Video	'https://youtu.be/zsCD5XCu6CM?si=LGMOKvvcoge8Ocg5'
2024.04.20 16:14:22 Video	'https://youtu.be/raKxf5M30Qc?si=dYpiiKNkFEkpUIW7'
2024.04.20 16:14:50 Video	'https://youtu.be/SmWVGN9DXC0?si=y0YbsO8Td0_7ApWI'
2024.04.20 16:18:26 Video	'https://youtu.be/T7juNI3oZtM?si=mikNolXfjPYxKCOb'
2024.04.20 16:21:06 Video	'https://youtu.be/HCgkeQWbuZs?si=ToeQUlShUB1zrbvj'
2024.04.20 16:25:52 Video	'https://youtu.be/TTfCzJ07gf4?si=88Ou1IhaiLON1VhA'
2024.04.20 16:32:11 Video	'https://youtu.be/_Cj9fzXFaVk?si=9Jl960hQPpAxlwvY'
2024.04.20 16:34:40 Video	'https://youtu.be/DN18vCy9a9E?si=sjvpRsHKCCzcLAOi'
2024.04.20 16:37:19 Video	'https://youtu.be/kN1n-Y_Swuk?si=MsT82vtWETkzqd45'
2024.04.20 16:41:48 Video	'https://youtu.be/7SdRqxyuhNA?si=apIbGjhO7lzJTvSA'
2024.04.20 16:51:55 Video	'https://youtu.be/wnrz8LXdIaI?si=WgMlK6m7fiqvc9CA'
2024.04.20 16:54:51 Video	'https://youtu.be/0cMPRHHizbM?si=arkTZtBV6XCaLB9Z'
2024.04.20 16:56:33 Video	'https://youtu.be/0cMPRHHizbM?si=arkTZtBV6XCaLB9Z'
2024.04.20 16:58:15 Video	'https://youtu.be/tu7zMXofx-0?si=WJFuj6pHwwbWsiai'
2024.04.20 17:00:37 Video	'https://youtu.be/5obWELl1sjo?si=_BDhOpUOEmQuBPXW'
2024.04.20 17:02:51 Video	'https://youtu.be/GtEpCZcHRkw?si=4jHspOM9JNYIMe0L'
2024.04.20 17:05:15 Video	'https://youtu.be/SmWVGN9DXC0?si=y0YbsO8Td0_7ApWI'
